user_id;breed_id;name;birth_dt;sex;weight;height;length;has_defects;is_multicolor
935;5;Erika Wilson;2024-05-15;female;14.987;73.447;44.717;False;False
647;635;Eric Davis;2024-02-15;male;33.654;7.753;0.291;False;False
920;31;Stacy Ali;2024-06-15;male;49.604;13.269;0.693;False;False
774;630;Jay Baker;2024-08-08;male;76.01;80.659;73.818;False;True
145;386;Lauren Sims;2024-07-26;female;35.349;11.382;30.857;True;True
451;885;Jared Williams;2024-03-02;female;48.343;93.074;84.414;False;False
997;901;Andrew Sanders MD;2024-02-07;female;88.172;12.957;26.226;False;False
915;634;Mallory Green;2024-08-05;female;40.547;20.974;93.998;True;True
766;653;James Wong;2024-04-11;female;59.873;97.612;29.462;True;False
5;136;Joseph Pierce;2024-02-13;male;88.523;55.8;37.811;False;False
332;626;Christopher Carlson;2024-08-29;male;50.359;22.065;47.161;False;True
356;666;Mary Wallace;2024-01-31;male;54.632;95.023;29.203;False;False
701;976;John Stone;2024-03-23;female;56.736;77.016;21.201;False;False
200;736;Mr. Robert King;2024-03-08;female;76.017;48.771;26.327;False;False
43;716;Jennifer Reed;2024-08-10;male;3.181;80.321;45.708;False;False
629;241;Mr. Duane Johnson;2024-04-02;female;78.987;33.771;66.524;True;True
519;957;Melissa Wilkinson;2024-02-27;male;53.479;49.107;7.014;False;False
691;50;Logan Sharp;2024-08-08;male;94.414;80.314;0.535;False;True
445;955;Lisa Wagner;2024-07-19;female;8.351;14.435;41.632;True;False
799;594;Maria Smith;2024-02-01;female;99.855;19.246;73.453;True;True
689;111;Kelly Rice;2024-09-02;female;69.26;12.596;42.222;False;False
498;313;Scott Foster;2024-08-16;male;69.81;29.903;47.759;True;False
191;803;Lauren Brewer;2024-03-08;male;37.664;98.373;1.404;False;True
305;920;Ashley Johnson;2024-07-15;female;80.3;7.141;82.832;True;True
298;71;Jared Jenkins;2024-01-31;female;58.902;87.756;48.754;False;False
794;718;Joshua Spencer;2024-08-18;male;73.23;11.643;77.458;False;True
161;175;Latoya Franklin;2024-09-08;female;74.243;79.929;71.855;True;False
639;952;Shirley Byrd;2024-02-24;female;15.231;99.401;96.004;False;True
201;270;Daniel Hamilton;2024-01-07;male;18.928;37.801;64.413;False;True
494;558;Shawn Foster;2024-03-03;female;56.586;24.508;43.612;True;False
91;797;Debra Gardner;2024-08-25;male;55.847;7.842;97.121;False;False
678;715;Miguel Price;2024-06-27;female;34.536;92.756;58.954;False;True
213;293;Daniel Fisher;2024-04-13;female;2.437;88.035;88.124;True;False
228;844;Donald Thomas;2024-04-05;female;48.83;95.822;46.349;False;False
163;891;Keith Whitney;2024-05-30;female;12.29;87.81;92.589;False;False
940;61;Lindsay Lewis;2024-07-28;female;76.09;75.993;90.27;False;False
634;787;Amanda Stevens MD;2024-07-23;male;84.142;6.388;71.071;True;True
420;527;Ashley Medina;2024-06-26;female;6.603;21.677;63.527;False;False
515;254;Krista Ray;2024-04-28;male;55.037;46.577;8.581;False;True
862;715;Lynn Kelley;2024-05-10;male;90.928;88.672;7.803;False;False
733;567;Ryan Olson;2024-04-29;male;39.872;68.858;37.992;False;False
163;759;Paige Jones;2024-01-08;female;51.396;34.766;17.709;False;False
842;1000;Dwayne Cameron;2024-05-22;female;15.994;95.024;59.525;True;True
155;860;Rebecca Williams;2024-04-22;male;55.841;18.589;68.187;True;True
527;589;Thomas Arnold;2024-08-27;male;70.718;48.598;61.446;False;False
125;961;Lisa Stanley;2024-06-11;male;9.141;35.795;85.666;True;False
795;530;Andrea Williams;2024-03-31;male;31.418;82.376;25.367;True;True
25;109;Ryan Miranda;2024-08-12;female;16.439;84.723;40.572;False;True
639;954;Christopher Peters;2024-06-13;female;92.314;17.973;25.165;True;False
12;419;Michael Johnson;2024-03-09;male;55.199;32.044;72.161;False;False
764;491;Jordan Webb;2024-01-13;male;23.705;54.029;24.865;True;True
238;500;Sarah Daugherty MD;2024-07-14;female;89.978;16.072;9.612;False;True
43;34;Colin Hampton;2024-04-01;female;17.477;45.266;58.487;True;False
400;788;Jessica Bell;2024-03-13;female;86.422;98.162;14.502;False;True
616;627;Kevin Munoz;2024-05-27;male;88.221;1.121;7.458;False;True
333;796;Rachel Hall;2024-01-22;female;85.912;15.518;14.906;True;True
799;754;Martha Bell;2024-01-28;female;82.713;52.249;14.318;True;False
243;643;Ariana Johnson;2024-07-31;female;92.889;50.064;66.774;False;True
