species_id;breed_id;standard_id;status;country;show_class;name;is_multi_breed
;1;1;created;Japan;one;Mahoney-Macias;False
502;;;created;Jordan;three;Gray-Cunningham;True
865;;;created;Angola;two;Smith Inc;True
447;;;created;Czech Republic;two;Stanley, Herrera and Maldonado;True
40;;;created;Mali;three;Snow and Sons;True
416;;;created;Poland;three;Nixon and Sons;True
471;;;created;Belarus;three;Lopez Inc;True
;8;8;created;South Africa;three;Garcia-Davis;False
987;;;created;Angola;two;Mason Ltd;True
;10;10;created;Equatorial Guinea;three;Patel, Frederick and Johnson;False
195;;;created;Armenia;one;Kim-Thomas;True
;12;12;created;Montenegro;one;Dillon, Jacobs and Curry;False
668;;;created;Libya;three;Pearson, Rojas and Bryant;True
438;;;created;Sao Tome & Principe;three;Brown and Sons;True
785;;;created;Nigeria;one;Nguyen-Nash;True
;16;16;created;Pakistan;two;Holt-Weaver;False
176;;;created;Colombia;two;Griffith-Marshall;True
;18;18;created;Senegal;three;Willis-Carlson;False
31;;;created;Yemen;two;Mcgrath Group;True
674;;;created;Madagascar;one;Alexander LLC;True
458;;;created;Vanuatu;one;Johnson, Gibbs and Edwards;True
;22;22;created;Taiwan;three;Harris-Swanson;False
245;;;created;Bosnia Herzegovina;three;Jones PLC;True
176;;;created;Panama;one;Mcintosh, Rogers and Turner;True
990;;;created;Cape Verde;three;Johnson-Turner;True
;26;26;created;Egypt;three;Evans and Sons;False
627;;;created;United Arab Emirates;two;Hernandez-Hall;True
;28;28;created;Congo;three;Allen Group;False
787;;;created;Guyana;three;Jordan, Martin and Freeman;True
22;;;created;Kiribati;three;Greene, Garcia and Daniel;True
;31;31;created;China;two;Todd, Friedman and Gonzalez;False
;32;32;created;United Kingdom;three;Adams-Schwartz;False
860;;;created;Poland;two;Davis, Neal and Ochoa;True
;34;34;created;Cyprus;one;Sullivan, Thompson and Young;False
657;;;created;Malawi;two;Orozco, Le and Williams;True
;36;36;created;Georgia;three;Oconnor, Thompson and Maldonado;False
957;;;created;Nepal;one;Walker, Villanueva and Moss;True
;38;38;created;Tunisia;one;Stout Group;False
;39;39;created;Honduras;one;Hernandez, Esparza and Smith;False
;40;40;created;Ghana;two;Li, Gross and Myers;False
;41;41;created;South Africa;one;Williams Group;False
;42;42;created;Bhutan;two;Harris-Weaver;False
;43;43;created;Zimbabwe;three;Peterson Group;False
274;;;created;Morocco;three;Brown, Petersen and Perez;True
;45;45;created;Peru;three;Roth Inc;False
;46;46;created;Germany;two;Smith PLC;False
;47;47;created;Mali;one;Jenkins-Walsh;False
;48;48;created;Vanuatu;one;Hanna Inc;False
;49;49;created;Belarus;three;Wade-Wood;False
67;;;created;Jordan;one;Harrison PLC;True
;51;51;created;Venezuela;two;Wiley-Chan;False
580;;;created;Croatia;three;Norton, Hardy and Curry;True
422;;;created;Botswana;one;Lewis, Garza and Oneill;True
;54;54;created;New Zealand;two;Torres-Smith;False
804;;;created;India;one;Black Group;True
;56;56;created;Cape Verde;one;Sullivan, Peterson and Adams;False
898;;;created;Togo;one;Berger-Robertson;True
921;;;created;Laos;one;Cook-Hooper;True
573;;;created;Denmark;two;Patel Ltd;True
;60;60;created;Niger;three;Little-Scott;False
;61;61;created;Saint Vincent & the Grenadines;two;Jefferson, Peters and Gray;False
309;;;created;Haiti;two;Mueller-Moss;True
;63;63;created;Turkey;three;Wallace-Park;False
501;;;created;Ukraine;two;Turner, Flores and Cortez;True
;65;65;created;Iran;two;Jefferson-Patel;False
;66;66;created;Seychelles;two;Flores-Bryan;False
358;;;created;Finland;two;Ross-Krueger;True
454;;;created;Namibia;two;Smith, Jones and Morgan;True
;69;69;created;St Lucia;two;Juarez PLC;False
