breed_id;country;weight;height;length;has_defects;is_multicolor;weight_delta_percent;height_delta_percent;length_delta_percent
1;Korea North;41.956;58.696;47.46;False;True;98.1;65.12;65.94
2;Dominica;33.711;37.432;8.153;False;True;60.12;36.79;22.84
3;Tunisia;48.638;43.659;10.81;False;False;36.42;37.91;5.66
4;Mexico;50.802;43.66;20.686;False;False;18.11;0.21;52.85
5;Rwanda;60.518;94.89;72.714;True;False;39.76;23.66;8.43
6;Japan;86.668;42.659;30.957;True;True;78.09;5.22;68.68
7;Chile;10.494;17.841;36.723;False;False;53.99;19.67;40.98
8;Samoa;23.657;80.847;85.037;False;True;13.46;30.67;53.65
9;Ethiopia;10.521;83.355;68.469;True;False;60.35;88.02;28.07
10;Tajikistan;67.88;47.958;59.711;True;False;72.83;95.89;37.93
11;Bahamas;5.893;60.806;89.556;False;True;36.97;90.18;65.86
12;Sri Lanka;76.372;33.054;15.119;False;True;6.58;93.11;8.93
13;Comoros;82.858;52.436;48.355;True;True;94.48;24.78;90.67
14;Kuwait;99.133;37.365;86.614;False;True;63.38;63.99;8.02
15;Seychelles;64.909;85.301;84.177;False;True;45.98;15.95;16.42
16;Dominican Republic;70.896;37.841;87.305;True;True;15.79;62.79;8.0
17;Yemen;71.502;30.157;57.183;True;False;0.64;92.55;71.89
18;Suriname;70.14;78.468;16.943;True;False;21.46;76.69;97.28
19;Croatia;57.798;20.866;77.487;False;False;14.07;53.4;69.76
20;Lesotho;96.518;77.072;15.229;True;False;69.65;31.17;84.37
21;Vietnam;40.891;22.319;57.301;False;False;85.2;42.99;52.62
22;Uganda;32.205;58.304;72.806;False;False;44.97;47.53;65.9
23;Benin;25.69;54.375;78.81;False;False;1.5;41.58;91.16
24;Moldova;64.812;31.572;13.227;True;True;3.17;68.56;76.18
25;Burkina;34.958;97.511;64.15;True;False;79.0;61.0;39.79
26;Panama;33.553;3.271;94.25;True;False;97.25;63.31;27.25
27;Papua New Guinea;3.812;69.788;94.959;False;False;97.14;92.45;31.07
28;Egypt;96.681;74.109;60.028;False;False;10.36;41.69;77.69
29;Egypt;79.714;32.218;50.741;False;True;5.55;29.93;69.74
30;Bulgaria;91.52;21.989;4.179;True;True;32.6;17.29;21.93
31;Germany;75.438;65.397;85.111;True;False;22.24;15.17;67.79
32;Greece;58.015;75.333;85.053;True;True;55.42;16.76;70.14
33;Kazakhstan;44.298;96.811;89.121;False;True;87.54;77.05;62.73
34;Malawi;23.567;24.864;27.117;False;True;72.64;12.72;13.51
35;Kyrgyzstan;69.52;45.332;39.082;True;False;0.3;64.46;59.43
36;Gabon;4.094;89.88;25.002;False;False;83.67;94.51;75.98
37;Cambodia;55.791;52.649;51.758;True;False;95.49;74.84;91.99
